domain,resource,action,method,path_official,path_local,status,param_gaps,body_diff,pagination,auth,headers_needed,error_model,stability,deprecation,notes
Buckets,api,ListFiles,GET,api/Buckets/{id}/ListFiles,,Missing,id,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
DirectoryService,api,GetDirectoryPermissions,GET,api/DirectoryService/GetDirectoryPermissions,,Missing,,,,OAuth2 bearer,,unknown,official,False,
DirectoryService,api,GetDomains,GET,api/DirectoryService/GetDomains,,Missing,,,,OAuth2 bearer,,unknown,official,False,
DirectoryService,api,GetDomainUserId,GET,api/DirectoryService/GetDomainUserId,,Missing,,,,OAuth2 bearer,,unknown,official,False,
DirectoryService,api,SearchForUsersAndGroups,GET,api/DirectoryService/SearchForUsersAndGroups,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Folders,api,DeleteByKey,DELETE,api/Folders/DeleteByKey,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Folders,api,GetAllForCurrentUser,GET,api/Folders/GetAllForCurrentUser,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Folders,api,PatchNameDescription,PATCH,api/Folders/PatchNameDescription,,Missing,,,,OAuth2 bearer,,unknown,official,False,
FoldersNavigation,api,GetAllFoldersForCurrentUser,GET,api/FoldersNavigation/GetAllFoldersForCurrentUser,,Missing,,,,OAuth2 bearer,,unknown,official,False,
FoldersNavigation,api,GetAllRolesForUser,GET,api/FoldersNavigation/GetAllRolesForUser,,Missing,,,,OAuth2 bearer,,unknown,official,False,
FoldersNavigation,api,GetFolderNavigationContextForCurrentUser,GET,api/FoldersNavigation/GetFolderNavigationContextForCurrentUser,,Missing,,,,OAuth2 bearer,,unknown,official,False,
FoldersNavigation,api,GetFoldersForCurrentUser,GET,api/FoldersNavigation/GetFoldersForCurrentUser,,Missing,,,,OAuth2 bearer,,unknown,official,False,
JobTriggers,api,DeliverPayload,POST,api/JobTriggers/DeliverPayload/{inboxId},,Missing,inboxId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
